was_round_t_success,t_alive_at_poi,ct_alive_at_poi,t_is_awp_available,s1mple_alive,s1mple_has_rifle,s1mple_has_awp,Boombl4_alive,Boombl4_has_rifle,Boombl4_has_awp,electronic_alive,electronic_has_rifle,electronic_has_awp,b1t_alive,b1t_has_rifle,b1t_has_awp,Perfecto_alive,Perfecto_has_rifle,Perfecto_has_awp
True,4,4,False,True,False,False,True,True,False,False,False,False,True,True,False,True,True,False
True,2,1,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
True,3,2,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False
False,3,5,False,True,True,False,False,False,False,True,True,False,False,False,False,True,True,False
False,2,4,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False
True,4,5,False,False,False,False,True,True,False,True,True,False,True,True,False,True,True,False
True,5,5,False,True,True,False,True,False,False,True,True,False,True,True,False,True,True,False
True,5,3,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False
False,4,4,True,True,True,True,True,True,False,True,True,False,True,True,False,False,False,False
True,5,5,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False
False,3,4,False,False,False,False,False,False,False,True,True,False,True,True,False,True,True,False
True,5,5,False,True,True,False,True,True,False,True,True,False,True,False,False,True,True,False
True,3,1,False,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False
False,5,5,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,False
True,5,4,False,True,True,False,True,True,False,True,True,False,True,False,False,True,True,False
True,5,4,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False
False,4,4,False,True,True,False,True,True,False,True,True,False,False,False,False,True,True,False
False,5,5,True,True,True,True,True,True,False,True,True,False,True,False,False,True,True,False
True,5,5,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False
False,4,4,True,True,True,False,False,False,False,True,True,False,True,True,False,True,True,True
True,4,4,True,True,True,True,True,True,False,True,True,False,True,True,False,False,False,False
True,5,2,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False
False,3,4,True,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False
True,5,3,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False
True,4,4,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,False
True,4,3,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,False
False,1,2,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
False,5,5,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False
True,4,4,False,True,True,False,True,True,False,False,False,False,True,False,False,True,True,False
False,1,3,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
True,4,3,False,True,True,False,True,True,False,True,True,False,False,False,False,True,True,False
True,5,5,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False
True,4,4,True,True,True,True,False,False,False,True,True,False,True,True,False,True,True,False
False,4,4,True,True,True,True,False,False,False,True,True,False,True,True,False,True,True,False
True,3,5,False,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False
False,4,5,False,True,True,False,False,False,False,True,True,False,True,True,False,True,True,False
True,5,4,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False
True,5,5,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False
False,5,5,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False
True,4,4,True,True,True,True,True,True,False,False,False,False,True,True,False,True,True,False
True,5,5,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False
True,5,5,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False
False,3,5,False,False,False,False,False,False,False,True,True,False,True,True,False,True,True,False
True,5,5,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False
True,5,5,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False
True,5,5,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False
False,3,3,False,True,True,False,False,False,False,True,True,False,True,True,False,False,False,False
False,2,5,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False
True,4,5,True,True,True,True,True,True,False,True,True,False,True,True,False,False,False,False
True,4,4,True,True,True,True,False,False,False,True,True,False,True,True,False,True,True,False
True,3,3,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False
True,5,5,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False
True,5,4,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False
True,4,5,True,True,True,True,True,True,False,False,False,False,True,True,False,True,True,False
True,4,5,True,True,True,True,False,False,False,True,True,False,True,True,False,True,True,False
True,4,5,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,False
False,3,5,False,True,True,False,False,False,False,True,True,False,False,False,False,True,True,False
True,5,5,False,True,True,False,True,False,False,True,True,False,True,True,False,True,True,False
True,4,5,False,True,True,False,True,True,False,True,True,False,True,True,False,False,False,False
True,5,5,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False
True,5,5,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False
True,4,3,False,True,True,False,True,True,False,False,False,False,True,True,False,True,True,False
True,5,5,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False
True,4,4,False,True,True,False,True,True,False,True,True,False,False,False,False,True,True,False
True,5,5,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False
True,5,5,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False
False,3,4,True,True,True,True,False,False,False,False,False,False,True,True,False,True,True,False
True,3,1,False,True,True,False,False,False,False,False,False,False,True,True,False,True,True,False
True,5,4,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False
True,5,5,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False
True,5,5,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False
True,5,4,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,False
True,5,5,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,False
True,5,5,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,False
True,5,5,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False
False,5,5,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False
True,4,5,False,False,False,False,True,True,False,True,True,False,True,True,False,True,True,False
False,5,5,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False
False,4,5,True,True,True,True,True,True,False,False,False,False,True,True,False,True,True,False
False,3,4,True,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False
False,5,5,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False
False,5,5,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False
True,3,3,False,True,True,False,False,False,False,True,True,False,True,True,False,False,False,False
True,5,5,False,True,True,False,True,False,False,True,True,False,True,True,False,True,False,False
True,5,5,False,True,True,False,True,False,False,True,True,False,True,True,False,True,False,False
True,2,3,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False
False,3,4,True,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False
True,5,5,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False
False,3,5,False,False,False,False,True,True,False,True,True,False,False,False,False,True,True,False
True,5,5,False,True,True,False,True,False,False,True,True,False,True,True,False,True,True,False
True,5,5,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False
True,5,5,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False
False,3,3,True,True,True,True,False,False,False,False,False,False,True,True,False,True,True,False
False,3,5,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False
